Date,Sampler,Plot ID Number,6-Letter Code,Species_Name,% Cover,Cover Class (1-7),# of Woody Seedlings ,Total Moss (1-7),Total Logs (1-7),Total Rocks (1-7),Total Bare Soil (1-7),Notes,Sample (Y/N)
5/10/18,"JLL, WS",A107,SILLAC,Silphium laciniatum,7,3,0,0,0,0,5,,
5/10/18,"JLL, WS",A107,SOLALT,Solidago altissima,60,5,0,0,0,0,0,,
5/10/18,"JLL, WS",A107,MONFIS,Monarda fistulosa,5,3,0,0,0,0,0,,
5/10/18,"JLL, WS",A107,CORVAR,Coronilla varia,1,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A107,CORTRP,Coreopsis tripteris ,3,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A107,Unidentified grass,Unidentified grass,1,2,0,0,0,0,0,Not same as C105,
5/10/18,"JLL, WS",A107,POTREC,Potentilla recta,1,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A107,CIRARV,Cirsium arvense,1,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A107,SILINT,Silphium integrifolium ,2,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A107,DAUCAR,Daucus carota,1,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A116,Allium sp.,Allium sp.,1,2,0,0,0,0,7,,
5/10/18,"JLL, WS",A116,GALAPA,Galium aparine,1,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A116,PARQUI,Parthenocissus quinquefolia,1,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A116,Symphyotrichum sp.,Symphyotrichum sp.,6,3,0,0,0,0,0,Lateriflorus?,
5/10/18,"JLL, WS",A116,FRAVIR,Fragaria virginiana,1,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A116,LONTAT,Lonicera tatarica,2,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A116,POLVIR,Polygonum virginianum,1,2,0,0,0,0,0,,
5/10/18,"JLL, WS",A116,Ligusticum sp.,Ligusticum sp.,2,2,0,0,0,0,0,Privet,
5/10/18,"JLL, WS",A116,TOXRAD,Toxicondendron radicans,1,2,2,0,0,0,0,,
5/10/18,"JLL, WS",A116,ALLPET,Alliaria petiolata,1,2,0,0,0,0,0,,
