,Original_name,Accepted_name,acceptedMOR,checklistMatch,notes,notesBy,noteDate,collectionPriority
19,Ageratina altissima,Ageratina altissima,Ageratina altissima,#N/A,,,,x
20,Agostis alba,Poa nemoralis,Poa nemoralis,#N/A,,,,x
21,AGRALT,,Agrostis altissima,#N/A,,,,x
29,Agrostis alba,Poa nemoralis,Poa nemoralis,#N/A,,,,x
38,Allium stellatum,Allium stellatum,Allium stellatum,#N/A,almost certainly misid,ah,6/27/18,x
41,Alnus species,Alnus,Alnus,#N/A,almost certainly Alnus glutinosa… no others in the wild here,ah,6/27/18,x
45,AMOSPA,Amorpha,,#N/A,not sure what is meant by this name… matches no abbreviations in USDA plants,ah,6/27/18,x
49,Anemone caroliniana,Anemone caroliniana,Anemone caroliniana,#N/A,almost certainly misid; rare in chicago region,ah,6/27/18,x
61,Aruncus dioicus pubescens,Aruncus dioicus var. pubescens,Aruncus dioicus,#N/A,probably wrong: http://vplants.org/portal/taxa/index.php?taxon=Aruncus+dioicus`,ah,6/27/18,x
63,ASCGLA,,0,#N/A,Aesculus glabra?,ah,6/27/18,x
64,Asclepias meadii,Asclepias meadii,Asclepias meadii,#N/A,"probably wrong: at arb, known only from Schulenberg Prairie, where it is introduced",ah,6/27/18,x
93,Calluna vulgaris,Calluna vulgaris,Calluna vulgaris,#N/A,almost certainly wrong… not from this region,ah,6/27/18,x
114,Carex trichocarpa,Carex trichocarpa,Carex trichocarpa,#N/A,I don't believe this occurs at the Arb… I'd like to see a specimen,ah,6/27/18,x
136,Cladastris kentukea,Cladrastis kentukea,Cladrastis kentukea,#N/A,"I haven't seen these… maybe here, escaped from cultivation",ah,6/27/18,x
137,Cladrastis lutea,Cladrastis lutea,Cladrastis lutea,#N/A,"I haven't seen these… maybe here, escaped from cultivation",ah,6/27/18,x
190,Festuca elatior,Festuca arundinacea,Festuca arundinacea,#N/A,"I suspect this is a mis-ID, but I don't know what it would be",ah,6/27/18,x
194,Fragaria vesca americana,Fragaria vesca subsp. americana,Fragaria vesca,#N/A,I've not seen this at the arb… I would treat the Fragaria spp as one,ah,6/27/18,x
206,Galium asprellum,Galium asprellum,Galium asprellum,#N/A,"I have my doubts about this ID, but I haven't seen a specimen",ah,6/27/18,x
225,Helianthus divaricatus,Helianthus divaricatus,Helianthus divaricatus,#N/A,"I have my doubts about this ID, but I haven't seen a specimen",ah,6/27/18,x
283,Morus rubra,Morus rubra,Morus rubra,#N/A,"it could be here, but we have no specimens… I'd love to see it",ah,6/27/18,x
319,Pinus banksiana,Pinus banksiana,Pinus banksiana,#N/A,?!,ah,6/27/18,x
343,Populus alba,Populus alba,Populus alba,#N/A,no specimen… I'd like to see this ,ah,6/27/18,x
398,Rubes idaeus strigosus,Rubus idaeus subsp. strigosus,Rubus idaeus,#N/A,,,,x
400,Rubus hispidus,Rubus hispidus,Rubus hispidus,#N/A,,,,x
401,Rubus idaeus strigosus,Rubus idaeus subsp. strigosus,Rubus idaeus,#N/A,,,,x
403,Rubus pensilvanicus,Rubus pensilvanicus,Rubus pensilvanicus,#N/A,,,,x
408,Rumex orbiculatus,Rumex britannica,Rumex britannica,#N/A,,,,x
436,Smilax tamnoides hispida,Smilax tamnoides,Smilax tamnoides,#N/A,,,,x
446,Solidago tenuifolia,Euthamia caroliniana,Euthamia caroliniana,#N/A,seems unlikely: sand soil sp that is not reported at all from DuPage Co.,ah,6/27/18,x
473,Torilis japonica,Torilis japonica,Torilis japonica,#N/A,,,,x
519,Uvularia sessilifolia,Uvularia sessilifolia,Uvularia sessilifolia,#N/A,,,,x
521,Vernonia altissima,Vernonia gigantea,Vernonia gigantea,#N/A,,,,x
528,Viburnum rafinesquianum,Viburnum rafinesquianum,Viburnum rafinesquianum,#N/A,,,,x
529,Viburnum recognitum,Viburnum recognitum,Viburnum recognitum,#N/A,,,,x
1,??,,,#N/A,,,,
2,0,,,#N/A,,,,
3,Acalypha rhomboidea,Acalypha virginica var. rhomboidea,Acalypha virginica,#N/A,,,,
4,Acer negundo,Acer negundo,Acer negundo,Acer negundo,,,,
5,Acer nigrum,Acer saccharum subsp. nigrum,Acer saccharum,Acer saccharum,,,,
6,Acer platanoides,Acer platanoides,Acer platanoides,Acer platanoides,,,,
7,Acer rubrum,Acer rubrum,Acer rubrum,Acer rubrum,,,,
8,Acer saccharinum,Acer saccharinum,Acer saccharinum,Acer saccharinum,,,,
9,Acer saccharum,Acer saccharum,Acer saccharum,Acer saccharum,,,,
10,Acer sp.,Acer,Acer,#N/A,,,,
11,Acer species,Acer,Acer,#N/A,,,,
12,Acers saccharum,Acer saccharum,Acer saccharum,Acer saccharum,,,,
13,Achillea millefolium,Achillea millefolium,Achillea millefolium,Achillea millefolium,,,,
14,Actaea pachypoda,Actaea pachypoda,Actaea pachypoda,Actaea pachypoda,,,,
15,Actinomeris alternifolia,Verbesina alternifolia,Verbesina alternifolia,Verbesina alternifolia,,,,
16,Aesculus glabra,Aesculus glabra,Aesculus glabra,Aesculus glabra,,,,
17,Aesculus sp.,Aesculus,Aesculus,#N/A,,,,
18,Aesculus species,Aesculus,Aesculus,#N/A,,,,
22,Agrimonia gryposepala,Agrimonia gryposepala,Agrimonia gryposepala,Agrimonia gryposepala,,,,
23,Agrimonia pubescens,Agrimonia pubescens,Agrimonia pubescens,Agrimonia pubescens,,,,
24,Agrimonia sp.,Agrimonia,Agrimonia,#N/A,,,,
25,Agrimonia Sp.,Agrimonia,Agrimonia,#N/A,,,,
26,Agrimonia species,Agrimonia,Agrimonia,#N/A,,,,
27,Agrononia sp.,Agrimonia,Agrimonia,#N/A,,,,
28,Agropyron repens,Elymus repens,Elymus repens,Elymus repens,,,,
30,Agrostis species,Agrostis,Agrostis,#N/A,,,,
31,Alisma subcordatum,Alisma subcordatum,Alisma subcordatum,Alisma subcordatum,,,,
32,ALLBUR,Allium,Allium tricoccum,Allium tricoccum,,,,
33,Alliaria petiolata,Alliaria petiolata,Alliaria petiolata,Alliaria petiolata,,,,
34,Allium burdickii,Allium tricoccum var. burdickii,Allium tricoccum,Allium tricoccum,,,,
35,Allium canadense,Allium canadense,Allium canadense,Allium canadense,,,,
36,Allium cernuum,Allium cernuum,Allium cernuum,Allium cernuum,,,,
37,Allium sp.,Allium,Allium,#N/A,,,,
39,Allium tricoccum,Allium tricoccum,Allium tricoccum,Allium tricoccum,,,,
40,Allium vineale,Allium vineale,Allium vineale,Allium vineale,,,,
42,Ambrosia artemisiifolia,Ambrosia artemisiifolia,Ambrosia artemisiifolia,Ambrosia artemisiifolia,,,,
43,Ambrosia artemisiifolia elatior,Ambrosia artemisiifolia,Ambrosia artemisiifolia,Ambrosia artemisiifolia,,,,
44,Ambrosia trifida,Ambrosia trifida,Ambrosia trifida,Ambrosia trifida,,,,
46,Amphicarpaea bracteata,,Amphicarpaea bracteata,Amphicarpaea bracteata,,,,
47,Andropogon gerardii,Andropogon gerardii,Andropogon gerardii,Andropogon gerardii,,,,
48,Anemone canadensis,Anemone canadensis,Anemone canadensis,Anemone canadensis,,,,
50,Anemone quinquefolia,Anemone quinquefolia,Anemone quinquefolia,Anemone quinquefolia,,,,
51,Anemone species,Anemone,Anemone,#N/A,,,,
52,Anemone virginiana,Anemone virginiana,Anemone virginiana,Anemone virginiana,,,,
53,Anemonella thalictroides,Anemonella thalictroides,Anemonella thalictroides,#N/A,correct -- check name in checklist,ah,6/28/18,
54,Apocynum cannabinum,Apocynum cannabinum,Apocynum cannabinum,Apocynum cannabinum,,,,
55,Apocynum sibiricum,Apocynum cannabinum,Apocynum cannabinum,Apocynum cannabinum,,,,
56,Aquilegia canadensis,Aquilegia canadensis,Aquilegia canadensis,Aquilegia canadensis,,,,
57,Arctium minus,Arctium minus,Arctium minus,Arctium minus,,,,
58,Arenaria lateriflora,Moehringia lateriflora,Moehringia lateriflora,#N/A,correct -- check name in checklist,ah,6/27/18,
59,Arisaema dracontium,Arisaema dracontium,Arisaema dracontium,Arisaema dracontium,,,,
60,Arisaema triphyllum,Arisaema triphyllum,Arisaema triphyllum,Arisaema triphyllum,,,,
