"","plot_names","all_spp"
"1","A107",""
"2","A107","Daucus carota"
"3","A107","Monarda fistulosa"
"4","A107","Potentilla recta"
"5","A107","Securigera varia"
"6","A107","Silphium laciniatum"
"7","A107","Solidago canadensis"
"8","A116","Alliaria petiolata"
"9","A116","Allium"
"10","A116","Fragaria virginiana"
"11","A116","Galium aparine"
"12","A116","Ligusticum"
"13","A116","Lonicera tatarica"
"14","A116","Polygonum virginianum"
"15","A116","Rubus occidentalis"
"16","A116","Solidago canadensis"
"17","A116","Symphyotrichum"
"18","A121","Allium canadense"
"19","A121","Allium cernuum"
"20","A121","Celastrus orbiculatus"
"21","A121","Galium triflorum"
"22","A121","Polygonatum biflorum"
"23","A121","Solidago canadensis"
"24","A121","Symphyotrichum lateriflorum"
"25","A124","Cardamine concatenata"
"26","A124","Erythronium albidum"
"27","A124","Geum canadense"
"28","A124","Impatiens"
"29","A124","Nabalus albus"
"30","A124","Sanicula gregaria"
"31","A126","Acer saccharum"
"32","A126","Agrimonia pubescens"
"33","A126","Cardamine concatenata"
"34","A126","Erythronium albidum"
"35","A126","Geranium maculatum"
"36","A126","Ranunculus"
"37","A126","Sanicula gregaria"
"38","A126","Trillium recurvatum"
"39","A126","Viola"
"40","A128","Agrimonia pubescens"
"41","A128","Allium canadense"
"42","A128","Erythronium albidum"
"43","A131","Maianthemum racemosum"
"44","A133","Eupatorium"
"45","A133","Galium triflorum"
"46","A133","Geum canadense"
"47","A133","Hackelia virginiana"
"48","A133","Maianthemum racemosum"
"49","A133","Rubus occidentalis"
"50","A133","Solidago canadensis"
"51","A133","Symphyotrichum lateriflorum"
"52","A133","Taraxacum campylodes"
"53","A135","Agrimonia pubescens"
"54","A135","Fraxinus"
"55","A135","Hackelia virginiana"
"56","A135","Morus alba"
"57","A135","Rubus occidentalis"
"58","A135","Solidago canadensis"
"59","A135","Sonchus arvensis"
"60","A135","Taraxacum campylodes"
"61","A135","Viola sororia"
"62","AA114","Cerastium"
"63","AA114","Claytonia virginica"
"64","AA114","Composite species"
"65","AA114","Erythronium albidum"
"66","AA116","Acer saccharum"
"67","AA116","Alliaria petiolata"
"68","AA116","Claytonia virginica"
"69","AA117","Acer saccharum"
"70","AA117","Anemone quinquefolia"
"71","AA117","Anemonella thalictroides"
"72","AA117","Cardamine concatenata"
"73","AA117","Carex"
"74","AA117","Carex pensylvanica"
"75","AA117","Claytonia virginica"
"76","AA117","Erythronium albidum"
"77","AA117","Galium aparine"
"78","AA117","Geum canadense"
"79","AA117","Ostrya virginiana"
"80","AA117","Oxalis stricta"
"81","AA117","Podophyllum peltatum"
