"","Date","Sampler","Plot.ID.Number","X6.Letter.Code","Species_Name","X..Cover","Cover.Class..1.7.","X..of.Woody.Seedlings","Total.Moss..1.7.","Total.Logs..1.7.","Total.Rocks..1.7.","Total.Bare.Soil..1.7.","Notes","Sample..Y.N."
"1","5/10/18","JLL, WS","A107","SILLAC","Silphium laciniatum",7,3,0,0,0,0,5,"",NA
"2","5/10/18","JLL, WS","A107","SOLALT","Solidago altissima",60,5,0,0,0,0,0,"",NA
"3","5/10/18","JLL, WS","A107","MONFIS","Monarda fistulosa",5,3,0,0,0,0,0,"",NA
"4","5/10/18","JLL, WS","A107","CORVAR","Coronilla varia",1,2,0,0,0,0,0,"",NA
"5","5/10/18","JLL, WS","A107","CORTRP","Coreopsis tripteris ",3,2,0,0,0,0,0,"",NA
"6","5/10/18","JLL, WS","A107","Unidentified grass","Unidentified grass",1,2,0,0,0,0,0,"Not same as C105",NA
"7","5/10/18","JLL, WS","A107","POTREC","Potentilla recta",1,2,0,0,0,0,0,"",NA
"8","5/10/18","JLL, WS","A107","CIRARV","Cirsium arvense",1,2,0,0,0,0,0,"",NA
"9","5/10/18","JLL, WS","A107","SILINT","Silphium integrifolium ",2,2,0,0,0,0,0,"",NA
"10","5/10/18","JLL, WS","A107","DAUCAR","Daucus carota",1,2,0,0,0,0,0,"",NA
"11","5/7/18","JLL, WO","U95","SOLALT","Solidago altissima",3,2,0,0,0,0,0,"",NA
"12","5/7/18","JLL, WO","U95","GEUCAN","Geum canadense",2,2,0,0,0,0,0,"",NA
"13","5/7/18","JLL, WO","U95","AGRALT","AGRALT",2,2,0,0,0,0,0,"",NA
"14","5/7/18","JLL, WO","U95","GALTRF","Galium triflorum",6,3,0,0,0,0,0,"",NA
"15","5/7/18","JLL, WO","U95","PRUVUV","Prunella vulgaris",6,3,0,0,0,0,0,"",NA
"16","5/7/18","JLL, WO","U95","ERYALB","Erythronium albidum",2,2,0,0,0,0,0,"",NA
"17","5/7/18","JLL, WO","U95","TRIREC","Trillium recurvatum",1,2,0,0,0,0,0,"",NA
"18","5/7/18","JLL, WO","U95","AGRGRY","Agrimonia gryposepala",4,2,0,0,0,0,0,"",NA
"19","5/7/18","JLL, WO","U95","VIOSOR","Viola sororia",2,2,0,0,0,0,0,"",NA
"20","5/7/18","JLL, WO","U95","ERIANS","Erigeron annuus",2,2,0,0,0,0,0,"",NA
"21","5/7/18","JLL, WO","U95","ACTPAC","Actaea pachypoda",2,2,0,0,0,0,0,"",NA
"22","5/7/18","JLL, WO","U95","SANGRE","Sanicula gregaria",2,2,0,0,0,0,0,"",NA
"23","5/7/18","JLL, WO","U95","RUBOCC","Rubus occidentalis",4,2,0,0,0,0,0,"",NA
"24","5/7/18","JLL, WO","U95","ALLPET","Alliaria petiolata",1,2,0,0,0,0,0,"",NA
"25","5/7/18","JLL, WO","U95","POLBIF","Polygonum biflorum",2,2,0,0,0,0,0,"",NA
"26","5/7/18","JLL, WO","U95","Lonicera sp.","Lonicera sp.",2,2,0,0,0,0,0,"",NA
"27","5/7/18","JLL, WO","U95","HELAUT","Helenium autumnale",3,2,0,0,0,0,0,"",NA
"28","5/7/18","JLL, WO","U95","TAROFF","Taraxacum officinale",1,2,0,0,0,0,0,"",NA
"29","5/7/18","JLL, WO","U95","RHACAT","Rhamnus cathartica",1,2,0,0,0,0,0,"",NA
"30","5/7/18","JLL, WO","U95","ALLCAN","Allium canadense",1,2,0,0,0,0,0,"",NA
"31","5/7/18","JLL, WO","U95","Carex sp.","Carex sp.",1,2,0,0,0,0,0,"",NA
"32","5/7/18","JLL, WO","U95","SYMDRU","Symphyotrichum drummondii",1,2,0,0,0,0,0,"",NA
"33","5/7/18","JLL, WO","U95","SOLULM","Solidago ulmifolia",1,2,0,0,0,0,0,"",NA
"34","5/7/18","JLL, WS","U95","CIRLUC","Circaea lutetiana",1,2,0,0,0,0,0,"",NA
"35","5/7/18","SL, WO","U95","Tragopogon sp.","Tragopogon sp.",1,1,0,0,0,0,5,"",NA
"36","5/8/18","MO, PB","HH85","GALAPA","Galium aparine",20,3,0,0,0,0,4,"",NA
"37","5/8/18","MO, PB","HH85","CRYCAN","Cryptotaenia canadensis",2,2,0,0,0,0,0,"",NA
"38","5/8/18","MO, PB","HH85","POLVIR","Polygonum virginianum",2,2,0,0,0,0,0,"",NA
"39","5/8/18","MO, PB","HH85","ALLPET","Alliaria petiolata",60,5,0,0,0,0,0,"",NA
"40","5/8/18","MO, PB","HH85","CIRLUC","Circaea lutetiana",3,2,0,0,0,0,0,"",NA
"41","5/8/18","MO, PB","HH85","ARITRI","Arisaema triphyllum",2,2,0,0,0,0,0,"",NA
"42","5/8/18","MO, PB","HH85","SMIRAC","Smilacina racemosa",4,2,0,0,0,0,0,"",NA
"43","5/8/18","MO, PB","HH85","Impatiens sp.","Impatiens sp.",1,2,0,0,0,0,0,"",NA
"44","5/8/18","MO, PB","HH85","PARQUI","Parthenocissus quinquefolia",1,2,0,0,0,0,0,"",NA
"45","5/8/18","MO, PB","HH85","Carex sp.","Carex sp.",1,2,0,0,0,0,0,"",NA
