A107,2007,2018,Prog Output,,,
,NONE,0,,,,
,,Cirsium arvense,,<-TRANSLATION ERROR?,,<-shouldn’t be its translates as its oringial name 
,,Coreopsis tripteris,,<-TRANSLATION ERROR?,,<- yes says NA for some reason 
,,Coronilla varia,Coronilla varia,,<-should be changed to securigera varia,
,,Daucus carota,Daucus carota,,,
,,Monarda fistulosa,Monarda fistulosa,,,
,,Potentilla recta,Potentilla recta,,,
,,Silphium integrifolium,,<-TRANSLATION ERROR?,,<-yes says NA for some reason 
,,Silphium laciniatum,Silphium laciniatum,,,
,,Solidago altissima,Solidago altissima,,,
,,Unidentified grass,Unidentified grass,,,
,,,,,,
,,,,,,
U95,,Actaea pachypoda,Actaea pachypoda,,,
,,AGRALT,AGRALT,,,
,"""Agrimonia species""",Agrimonia gryposepala,Agrimonia gryposepala,,,
,,Alliaria petiolata,,<-TRANSLATION ERROR?,,<-shouldn't be translates as itself
,,Allium canadense,Allium canadense,,,
,"""Carex hirtifolia""",Carex sp.,,<-feel like this one should've been picked up too,,
,"""Carya ovata""",Carya ovata,,,,
,"""Cercis canadensis""",Cercis canadensis,,,,
,"""Circaea lutetiana canadensis""",Circaea lutetiana,Circaea lutetiana,,,
,,Erigeron annuus,Erigeron annuus,,,
,,Erythronium albidum,Erythronium albidum,,,
,"""Fraxinus pennsylvanica subintegerrima""",Fraxinus sp.,,,,
,,Galium triflorum,Galium triflorum,,,
,,Geum canadense,,<-WAS FOUND IN OTHER PLOTS,,<-again no error with translation just translates as itself
,,Helenium autumnale,Helenium autumnale,,,
,"""Lonicera maackii """,Lonicera maackii,Lonicera sp.,,,
,"""Lonicera maackii""",Lonicera sp.,,<-said accepted name for this is NA,,
,,Polygonum biflorum,Polygonum biflorum,,,
,,Prunella vulgaris,Prunella vulgaris,,,
,,Quercus ellipsoidalis,,<-HAVENT RUN TREES YET,,
,,Quercus macrocarpa,,<-HAVENT RUN TREES YET,,
,"""Quercus rubra""",Quercus rubra,,,,
,"""Rhamnus frangula """,Rhamnus cathartica,Rhamnus cathartica,<-said it was new bc rhamnus frnag gets NA in accepted nae?,,
,"""Rubus occidentalis""",Rubus occidentalis,,,,
,,Sanicula gregaria,Sanicula gregaria,,,
,,Solidago altissima,Solidago altissima,,,
,,Solidago ulmifolia,Solidago ulmifolia,,,
,,Symphyotrichum drummondii,Symphyotrichum drummondii,,,
,,Taraxacum officinale,Taraxacum officinale,,,
,"""Tilia americana""",Tilia americana,,,,
,,Tragopogon sp.,Tragopogon sp.,,,
,,Trillium recurvatum,Trillium recurvatum,,,
,"""Ulmus americana""",Ulmus americana,,,,
,,Viola sororia,Viola sororia,,,
"""Eupatorium rugosum""",,,,,,
"""Oxalis stricta""",,,,,,
"""Osmorhiza longistylis""",,,,,,
"""Rhus radicans""",,,,,,
"""Smilacina racemosa""",,,,,,
"""Viburnum lentago""",,,,,,
"""Viburnum recognitum """,,,,,,
HH85,,Acer saccharum,,<-HAVENT DONE TREES OR SHURBS YET,,
,"""Alliaria petiolata""",Alliaria petiolata,,,,
,,Arisaema triphyllum,Arisaema triphyllum,,,
,"""Carex species""",Carex sp.,,,,
,,Celtis occidentalis,,<-TRANSLATION ERROR?,,<-why cant I find ths one??
,,Circaea lutetiana,Circaea lutetiana,,,
,,Cryptotaenia canadensis,Cryptotaenia canadensis,,,
,"""Galium species""",Galium aparine,Galium aparine,,,
,,Impatiens sp.,Impatiens sp.,,,
,"""Parthenocissus quinquefolia""",Parthenocissus quinquefolia,,,,
,"""Pinus resinosa""",Pinus resinosa,,,,
,,Pinus sp.,,,,
,,Polygonum virginianum,Polygonum virginianum,,,
,"""Quercus rubra""",Quercus rubra,,,,
,,Rosa multiflora,,<-TRANSALTION ERROR?,,
,,Rubus allegheniensis,,<-TRANSALTION ERROR?,,
,"""Rubus occidentalis""",Rubus occidentalis,,,,
,,Smilacina racemosa,,<-this one should be changing to maiathemum racemosum,,
,"""Tilia americana""",Tilia americana,,,,
,,Unidentified,,,,
"""Vitis riparia""",,,,,,
"""Geum canadense""",,,,,,
"""Rhus radicans""",,,,,,
