"","plot","code","species","cover","freq","native","physiognomy","habit","Accepted_name"
"1","A-107","ASCSYR","Asclepias syriaca",1,1,"Native","Forb","Forb","Asclepias syriaca"
"2","A-107","BROINE","Bromus inermis ",6,1,"Alien","Grass","Graminoid",NA
"3","A-107","CIRARV","Cirsium arvense",10,1,"Alien","Forb","Forb","Cirsium arvense"
"4","A-107","CONARV","Convolvulus arvensis",16,1,"Alien","Forb","Forb","Convolvulus arvensis"
"5","A-107","POAPRA","Poa pratensis",100,1,"Alien","Grass","Graminoid","Poa pratensis"
"6","U-95","AGRIMONIA SP","Agrimonia species",3,1,"-","Grass","Graminoid","Agrimonia"
"7","U-95","CERCAN","Cercis canadensis",10,1,"Native","Tree","Woody","Cercis canadensis"
"8","U-95","CIRLUC","Circaea lutetiana canadensis",6,1,"Native","Forb","Forb","Circaea lutetiana subsp. canadensis"
"9","U-95","CXHIRT","Carex hirtifolia",2,1,"Native","Sedge","Graminoid","Carex hirtifolia"
"10","U-95","EUPRUG","Eupatorium rugosum",15,1,"Native","Forb","Forb","Ageratina altissima"
"11","U-95","FRAPES","Fraxinus pennsylvanica subintegerrima",2,1,"Native","Tree","Woody","Fraxinus pennsylvanica"
"12","U-95","LONMAA","Lonicera maackii ",12,1,"Alien","Shrub","Woody",NA
"13","U-95","OSMLON","Osmorhiza longistylis",3,1,"Native","Forb","Forb","Osmorhiza longistylis"
"14","U-95","OXASTR","Oxalis stricta",4,1,"Native","Forb","Forb","Oxalis stricta"
"15","U-95","RHAFRA","Rhamnus frangula ",8,1,"Alien","Understory tree","Woody",NA
"16","U-95","RHURAD","Rhus radicans",8,1,"Native","Woody vine","Woody","Toxicodendron radicans"
"17","U-95","SMIRAC","Smilacina racemosa",10,1,"Native","Forb","Forb","Maianthemum racemosum"
"18","HH-85","ALLPET","Alliaria petiolata",14,1,"Alien","Forb","Forb","Alliaria petiolata"
"19","HH-85","CAREX SP","Carex species",2,1,"-","Sedge","Graminoid","Carex"
"20","HH-85","GALIUM SP","Galium species",1,1,"-","Forb","Forb","Galium"
"21","HH-85","GEUCAN","Geum canadense",2,1,"Native","Forb","Forb","Geum canadense"
"22","HH-85","PARQUI","Parthenocissus quinquefolia",12,1,"Native","Woody vine","Woody","Parthenocissus quinquefolia"
"23","HH-85","RHURAD","Rhus radicans",20,1,"Native","Woody vine","Woody","Toxicodendron radicans"
"24","HH-85","RUBOCC","Rubus occidentalis",25,1,"Native","Shrub","Woody","Rubus occidentalis"
