"","Original_name"
"1","??"
"2","0"
"3","Acalypha rhomboidea"
"4","Acer negundo"
"5","Acer nigrum"
"6","Acer platanoides"
"7","Acer rubrum"
"8","Acer saccharinum"
"9","Acer saccharum"
"10","Acer sp."
"11","Acer species"
"12","Acers saccharum"
"13","Achillea millefolium"
"14","Actaea pachypoda"
"15","Actinomeris alternifolia"
"16","Aesculus glabra"
"17","Aesculus sp."
"18","Aesculus species"
"19","Ageratina altissima"
"20","Agostis alba"
"21","AGRALT"
"22","Agrimonia gryposepala"
"23","Agrimonia pubescens"
"24","Agrimonia sp."
"25","Agrimonia Sp."
"26","Agrimonia species"
"27","Agrononia sp."
"28","Agropyron repens"
"29","Agrostis alba"
"30","Agrostis species"
"31","Alisma subcordatum"
"32","ALLBUR"
"33","Alliaria petiolata"
"34","Allium burdickii"
"35","Allium canadense"
"36","Allium cernuum"
"37","Allium sp."
"38","Allium stellatum"
"39","Allium tricoccum"
"40","Allium vineale"
"41","Alnus species"
"42","Ambrosia artemisiifolia"
"43","Ambrosia artemisiifolia elatior"
"44","Ambrosia trifida"
"45","AMOSPA"
"46","Amphicarpaea bracteata"
"47","Andropogon gerardii"
"48","Anemone canadensis"
"49","Anemone caroliniana"
"50","Anemone quinquefolia"
"51","Anemone species"
"52","Anemone virginiana"
"53","Anemonella thalictroides"
"54","Apocynum cannabinum"
"55","Apocynum sibiricum"
"56","Aquilegia canadensis"
"57","Arctium minus"
"58","Arenaria lateriflora"
"59","Arisaema dracontium"
"60","Arisaema triphyllum"
"61","Aruncus dioicus pubescens"
"62","Asarum canadense"
"63","ASCGLA"
"64","Asclepias meadii"
"65","Asclepias syriaca"
"66","Asclepias verticillata"
"67","Asimina species"
"68","Asimina triloba"
"69","Asplenium species"
"70","Aster ericoides"
"71","Aster lateriflorus"
"72","Aster pilosus"
"73","Aster sagittifolius"
"74","Aster sagittifolius drummondii"
"75","Aster shortii"
"76","Aster sp.?"
"77","Aster species"
"78","B??"
"79","Barbarea vulgaris"
