,Original_name,Accepted_name,
1,??,??,
2,Acalypha rhomboidea,Acalypha virginica var. rhomboidea,
3,Acer negundo,Acer negundo,
4,Acer nigrum,Acer saccharum subsp. nigrum,
5,Acer platanoides,Acer platanoides,
6,Acer rubrum,Acer rubrum,
7,Acer saccharinum,Acer saccharinum,
8,Acer saccharum,Acer saccharum,
9,Acer species,Acer,
10,Achillea millefolium,Achillea millefolium,
11,Actinomeris alternifolia,Verbesina alternifolia,
12,Aesculus glabra,Aesculus glabra,
13,Aesculus species,Aesculus,
14,Agostis alba,Poa nemoralis,
15,Agrimonia gryposepala,Agrimonia gryposepala,
16,Agrimonia species,Agrimonia,
17,Agropyron repens,Elymus repens,
18,Agrostis alba,Poa nemoralis,
19,Agrostis species,Agrostis,
20,Alliaria petiolata,Alliaria petiolata,
21,Allium canadense,Allium canadense,
22,Allium cernuum,Allium cernuum,
23,Allium stellatum,Allium stellatum,
24,Allium tricoccum,Allium tricoccum,
25,Alnus species,Alnus,
26,Ambrosia artemisiifolia elatior,Ambrosia artemisiifolia,
27,Ambrosia trifida,Ambrosia trifida,
28,Andropogon gerardii,Andropogon gerardii,
29,Anemone caroliniana,Anemone caroliniana,
30,Anemone quinquefolia,Anemone quinquefolia,
31,Anemone species,Anemone,
32,Anemone virginiana,Anemone virginiana,
33,Anemonella thalictroides,Anemonella thalictroides,
34,Aquilegia canadensis,Aquilegia canadensis,
35,Arctium minus,Arctium minus,
36,Arenaria lateriflora,Moehringia lateriflora,
37,Arisaema dracontium,Arisaema dracontium,
38,Arisaema triphyllum,Arisaema triphyllum,
39,Aruncus dioicus pubescens,Aruncus dioicus var. pubescens,
40,Asarum canadense,Asarum canadense,
41,Asclepias meadii,Asclepias meadii,
42,Asclepias syriaca,Asclepias syriaca,
43,Asclepias verticillata,Asclepias verticillata,
44,Asimina species,Asimina,
45,Asplenium species,Asplenium,
46,Aster lateriflorus,Symphyotrichum lateriflorum,
47,Aster pilosus,Symphyotrichum pilosum,
48,Aster sagittifolius,Symphyotrichum undulatum,
49,Aster sagittifolius drummondii,Symphyotrichum drummondii,
50,Aster shortii,Symphyotrichum shortii,
51,Aster species,Aster,
52,Barbarea vulgaris,Barbarea vulgaris,
53,Berberis thunbergii,Berberis thunbergii,
54,Bidens cernua,Bidens cernua,
55,Bidens frondosa,Bidens frondosa,
56,Bidens species,Bidens species,
57,Boehmeria cylindrica,Boehmeria cylindrica,
58,Brassicaceae family,Brassicaceae,
59,Bromis inermis,Bromus inermis,
60,Bromus inermis,Bromus inermis,
61,Campanula americana,Campanula americana,
62,Carex blanda,Carex blanda,
63,Carex gravida,Carex gravida,
64,Carex hirtifolia,Carex hirtifolia,
65,Carex pensylvanica,Carex pensylvanica,
66,Carex rosea,Carex rosea,
67,Carex sparganioides,Carex sparganioides,
68,Carex species,Carex,
69,Carex tribuloides,Carex tribuloides,
70,Carex vulpinoidea,Carex vulpinoidea,
71,Carya cordiformis,Carya cordiformis,
72,Carya ovata,Carya ovata,
73,Carya species,Carya,
74,Caulophyllum thalictroides,Caulophyllum thalictroides,
75,Celastrus scandens,Celastrus scandens,
76,Celtis occidentalis,Celtis occidentalis,
77,Cercis canadensis,Cercis canadensis,
78,Chenopodium album,Chenopodium album,
79,Chrysanthemum leucanthemum pinnatifidum,Leucanthemum vulgare,
80,Circaea lutetiana canadensis,Circaea lutetiana subsp. canadensis,
81,Cirsium arvense,Cirsium arvense,
82,Cirsium vulgare,Cirsium vulgare,
83,Cladrastis lutea,Cladrastis lutea,
84,Convolvulus arvensis,Convolvulus arvensis,
85,Convolvulus sepium,Calystegia sepium,
86,Convolvulus species,Convolvulus,
87,Cornus racemosa,Cornus racemosa,
88,Coronilla varia,Securigera varia,
89,Crataegus species,Crataegus,
90,Dactylis glomerata,Dactylis glomerata,
91,Danthonia spicata,Danthonia spicata,
92,Daucus carota,Daucus carota,
93,Desmodium species,Desmodium,
94,Dioscorea villosa,Dioscorea villosa,
95,Dipsacus sylvestris,Dipsacus fullonum,
96,Dodecatheon meadia,Dodecatheon meadia,
97,Duchesnea indica,Duchesnea indica,
98,Elymus villosus,Elymus villosus,
99,Epilobium coloratum,Epilobium coloratum,
100,Erechtites hieracifolia,Erechtites hieraciifolius,
101,Erigeron annuus,Erigeron annuus,
102,Erigeron canadensis,Erigeron canadensis,
103,Erigeron strigosus,Erigeron strigosus,
104,Euonymus alatus,Euonymus alatus,
105,Euonymus atropurpureus,Euonymus atropurpureus,
106,Euonymus species,Euonymus,
107,Eupatorium rugosum,Ageratina altissima,
108,Festuca elatior,Festuca arundinacea,
109,Festuca species,Festuca,
110,Forb species,Forb species,
111,Fragaria vesca americana,Fragaria vesca subsp. americana,
112,Fragaria virginiana,Fragaria virginiana,
113,Fraxinus - Collections,Fraxinus - Collections,
114,Fraxinus americana,Fraxinus americana,
115,Fraxinus pennsylvanica subintegerrima,Fraxinus pennsylvanica,
116,Fraxinus quadrangulata,Fraxinus quadrangulata,
117,Fraxinus seedling,Fraxinus,
118,Fraxinus species,Fraxinus,
119,Galium aparine,Galium aparine,
120,Galium asprellum,Galium asprellum,
121,Galium obtusum,Galium obtusum,
122,Galium species,Galium,
123,Galium triflorum,Galium triflorum,
124,Geranium maculatum,Geranium maculatum,
125,Geum canadense,Geum canadense,
126,Glechoma hederacea,Glechoma hederacea,
127,Gleditsia triacanthos,Gleditsia triacanthos,
128,Glyceria striata,Glyceria striata,
129,Grass species,Grias,
130,Gymnocladus dioica,Gymnocladus dioica,
