"","x"
"Acer saccharum subsp. nigrum",199
"Parthenocissus quinquefolia",178
"Nonea",157
"Circaea lutetiana subsp. canadensis",132
"Fraxinus americana",106
"Ulmus americana",98
"Unidentified species",88
"Rhamnus cathartica",83
"Alliaria petiolata",79
"Lonicera maackii",75
"Ulmus rubra",69
"Prunus serotina",66
"Toxicodendron radicans",66
"Fraxinus pennsylvanica",60
"Tilia americana",58
"Arisaema triphyllum",56
"Geum canadense",56
"Maianthemum racemosum",44
"Quercus rubra",44
"Crataegus",42
"Poa pratensis",40
"Ostrya virginiana",38
"Quercus alba",33
"Quercus macrocarpa",33
"Vitis vulpina",33
"Ageratina altissima",32
"Lonicera tatarica",31
"Juglans nigra",30
"Rosa multiflora",27
"Oxalis stricta",26
"Viola",22
"Acer negundo",21
"Galium",21
"Symphyotrichum lateriflorum",21
"Aster",20
"Carex",20
"Geranium maculatum",20
"Impatiens capensis",20
"Impatiens pallida",20
"Viburnum",19
"Cirsium arvense",17
"Ulmus",17
"Viburnum recognitum",17
"Dactylis glomerata",16
"Hackelia virginiana",16
"Polygonum virginianum",16
"Rubus allegheniensis",16
"Cornus racemosa",15
"Daucus carota",15
"Rubus occidentalis",15
"Solidago canadensis",15
"Phalaris arundinacea",14
"Prunus virginiana",14
"Bromus inermis",13
"Prunus americana",12
"Taraxacum campylodes",12
"Convolvulus arvensis",11
"Melilotus officinalis",11
"Pilea pumila",11
"Solidago ulmifolia",11
"Campanula americana",10
"Carex blanda",10
"Carya cordiformis",10
"Fragaria virginiana",10
"Viburnum opulus",10
"Acer saccharinum",9
"Potentilla recta",9
"Ribes missouriense",9
"Solidago",9
"Leucanthemum vulgare",8
"Potentilla simplex",8
"Ribes",8
"Thalictrum dioicum",8
"Carex hirtifolia",7
"Celtis occidentalis",7
"Elymus repens",7
"Gleditsia triacanthos",7
"Quercus",7
"Salix nigra",7
"Smilax",7
"Hydrophyllum virginianum",6
"Plantago lanceolata",6
"Ranunculus hispidus",6
"Smilacina species",6
"Agrimonia gryposepala",5
"Boehmeria cylindrica",5
"Calystegia sepium",5
"Celastrus scandens",5
"Cercis canadensis",5
"Festuca arundinacea",5
"Fraxinus",5
"Glechoma hederacea",5
"Menispermum canadense",5
"Morus alba",5
"Phleum pratense",5
"Polypodium virginianum",5
"Prunella vulgaris subsp. lanceolata",5
"Smilax lasioneura",5
"Trifolium hybridum",5
"Trifolium pratense",5
"Ambrosia artemisiifolia",4
"Carya ovata",4
"Euonymus",4
"Euthamia graminifolia",4
"Festuca",4
"Frangula alnus",4
"Pastinaca sativa",4
"Physalis",4
"Populus deltoides",4
"Potentilla norvegica",4
"Quercus bicolor",4
"Quercus palustris",4
"Sanguinaria canadensis",4
"Solidago flexicaulis",4
"Symphyotrichum drummondii",4
"Acalypha virginica var. rhomboidea",3
"Acer",3
"Achillea millefolium",3
"Allium tricoccum",3
"Bidens frondosa",3
"Carex pensylvanica",3
"Carya",3
"Cladrastis lutea",3
"Dioscorea villosa",3
"Erigeron annuus",3
"Galium triflorum",3
"Hystrix patula",3
"Juglans cinerea",3
"Monarda fistulosa",3
"Osmunda claytoniana",3
"Polygonatum biflorum",3
"Prunus",3
"Ranunculus",3
"Rhamnus",3
"Aesculus",2
"Aesculus glabra",2
