"","x"
"",240
"Acer saccharum",212
"Erythronium albidum",157
"Cardamine concatenata",97
"Alliaria petiolata",95
"Claytonia virginica",91
"Fraxinus",86
"Impatiens",79
"Geum canadense",60
"Floerkea proserpinacoides",50
"Tilia americana",50
"Lonicera maackii",49
"Carex",48
"Arisaema triphyllum",47
"Quercus alba",46
"Trillium recurvatum",45
"Ulmus americana",43
"Symphyotrichum drummondii",41
"Maianthemum racemosum",40
"Solidago canadensis",40
"Circaea lutetiana",36
"Galium aparine",36
"Prunus serotina",33
"Quercus rubra",32
"Taraxacum campylodes",32
"Allium canadense",31
"Symphyotrichum lateriflorum",31
"Ageratina altissima",29
"Impatiens capensis",26
"Hackelia virginiana",25
"Polygonum virginianum",25
"Ostrya virginiana",23
"Parthenocissus quinquefolia",22
"Rhamnus cathartica",22
"Galium triflorum",21
"Anemone quinquefolia",20
"Quercus macrocarpa",20
"Celtis occidentalis",19
"Rubus occidentalis",19
"Toxicodendron radicans",19
"Geranium maculatum",18
"Ranunculus hispidus",18
"Ulmus rubra",18
"Carya cordiformis",16
"Polygonatum biflorum",16
"Solidago ulmifolia",16
"Fragaria virginiana",15
"Osmorhiza",14
"Potentilla simplex",14
"Symphyotrichum",14
"Viola sororia",14
"Anemonella thalictroides",13
"Juglans nigra",13
"Viola",13
"Daucus carota",12
"Phalaris arundinacea",12
"Poa pratensis",12
"Rubus allegheniensis",12
"Sanicula gregaria",12
"Fraxinus pennsylvanica",11
"Prunus virginiana",11
"Sanicula",11
"Symphyotrichum shortii",11
"Ambrosia trifida",10
"Hydrophyllum virginianum",10
"Rubus",10
"Allium tricoccum var. burdickii",9
"Quercus ellipsoidalis",9
"Rosa multiflora",9
"Agrimonia pubescens",8
"Camassia scilloides",8
"Morus alba",8
"Securigera varia",8
"Acer platanoides",7
"Bidens species",7
"Convolvulus",7
"Elymus elymoides",7
"Lonicera tatarica",7
"Mertensia virginica",7
"Agrimonia gryposepala",6
"Allium",6
"Carex hirtifolia",6
"Circaea lutetiana subsp. canadensis",6
"Elymus",6
"Fraxinus americana",6
"Malus sieboldii",6
"Oxalis stricta",6
"Podophyllum peltatum",6
"Acer negundo",5
"Bromus inermis",5
"Calystegia sepium",5
"Carex pensylvanica",5
"Celastrus orbiculatus",5
"Cerastium",5
"Cirsium",5
"Dicentra cucullaria",5
"Osmorhiza aristata var. aristata",5
"Ranunculus abortivus",5
"Solidago flexicaulis",5
"Uvularia grandiflora",5
"Viburnum opulus",5
"Crataegus",4
"Dactylis glomerata",4
"Euonymus alatus",4
"Fallopia scandens",4
"Galium",4
"Glechoma hederacea",4
"Helianthus species",4
"Lactuca species",4
"Lonicera",4
"Monarda fistulosa",4
"Nabalus albus",4
"Oxalis",4
"Phellodendron amurense",4
"Prunella vulgaris",4
"Ulmus pumila",4
"Achillea millefolium",3
"Agrimonia",3
"Allium vineale",3
"Berberis thunbergii",3
"Carex jamesii",3
"Cercis canadensis",3
"Cornus",3
"Cryptotaenia canadensis",3
"Erigeron annuus",3
"Fraxinus quadrangulata",3
"Galium circaezans",3
"Glyceria striata",3
"Phlox divaricata",3
"Polygonum",3
"Populus deltoides",3
"Quercus",3
"Ranunculus septentrionalis",3
"Ribes",3
"Rosa",3
"Rubus idaeus subsp. strigosus",3
"Sambucus canadensis",3
"Solidago",3
"Symphyotrichum pilosum",3
"Ulmus",3
"Verbesina alternifolia",3
"Allium cernuum",2
"Anemone virginiana",2
"Apocynum cannabinum",2
"Arisaema dracontium",2
"Asarum canadense",2
"Barbarea vulgaris",2
"Bidens frondosa",2
"Chenopodium",2
"Clinopodium vulgare",2
"Composite species",2
"Dipsacus fullonum",2
"Dodecatheon meadia",2
"Elymus villosus",2
"Euonymus",2
"Eupatorium",2
"Eupatorium purpureum",2
"Festuca arundinacea",2
"Ficaria verna",2
"Hydrophyllum appendiculatum",2
"Laportea canadensis",2
"Malus",2
"Morus",2
"Plantago lanceolata",2
"Polemonium reptans",2
"Ranunculus",2
"Ribes missouriense",2
"Rosa carolina",2
"Rumex",2
"Sanguinaria canadensis",2
"Sium suave",2
"Stylophorum diphyllum",2
"Thalictrum dioicum",2
"Torilis",2
"Torilis japonica",2
"Trifolium pratense",2
"Vitis",2
"Acalypha virginica var. rhomboidea",1
"Acer",1
"Actaea pachypoda",1
"Aesculus",1
"AGRALT",1
"Alisma subcordatum",1
