130,A107,Silphium laciniatum
92,A116,Salix
93,A116,Salix
131,A116,Allium
132,A116,Symphyotrichum
133,A116,Ligusticum
134,A116,Symphyotrichum
1,A117,Acer saccharum
135,A121,Celastrus orbiculatus
136,A124,Erythronium albidum
137,A124,Sanicula gregaria
138,A124,Cardamine concatenata
139,A126,Trillium recurvatum
140,A126,Cardamine concatenata
141,A126,Agrimonia pubescens
142,A126,Sanicula gregaria
143,A126,Erythronium albidum
144,A128,Agrimonia pubescens
145,A128,Erythronium albidum
2,A131,Fraxinus quadrangulata
146,A133,Eupatorium
94,A135,Phellodendron amurense
147,A135,Viola sororia
148,A135,Sonchus arvensis
149,A135,Agrimonia pubescens
150,A135,Morus alba
3,AA114,Acer saccharum
151,AA114,Erythronium albidum
152,AA114,Cerastium
153,AA114,Claytonia virginica
154,AA114,Composite species
4,AA116,Acer saccharum
155,AA116,Claytonia virginica
156,AA117,Claytonia virginica
157,AA117,Erythronium albidum
158,AA117,Anemone quinquefolia
159,AA117,Cardamine concatenata
5,AA118,Acer saccharum
160,AA118,Erythronium albidum
161,AA118,Anemone quinquefolia
162,AA118,Claytonia virginica
163,AA118,Cardamine concatenata
164,AA118,Floerkea proserpinacoides
165,AA118,Erythronium albidum
166,AA118,Claytonia virginica
167,AA118,Cardamine concatenata
168,AA125,Floerkea proserpinacoides
169,AA125,Erythronium albidum
170,AA125,Claytonia virginica
171,AA125,Hydrophyllum appendiculatum
6,AA129,Acer saccharum
7,AA129,Acer saccharum
172,AA129,Floerkea proserpinacoides
173,AA141,Torilis
174,AA141,Bidens species
175,AA95,Trillium recurvatum
176,AA95,Claytonia virginica
177,AA95,Osmorhiza
178,AA95,Circaea lutetiana
179,AA95,Erythronium albidum
180,AX132,Allium vineale
181,AY122,Clinopodium vulgare
182,AY124,Erythronium albidum
183,AY124,Cardamine concatenata
8,AY127,Quercus alba
9,AY127,Phellodendron amurense
184,AY127,Trillium recurvatum
185,AY127,Erythronium albidum
186,AY130,Erythronium albidum
187,AZ133,Erythronium albidum
188,AZ138,Allium vineale
189,B109,Arnoglossum atriplicifolium
190,B109,Schizachyrium scoparium
191,B109,Symphyotrichum
192,B109,Symphyotrichum novae-angliae
95,B115,Quercus ellipsoidalis
193,B127,Cardamine concatenata
194,B127,Erythronium albidum
195,B127,Agrimonia pubescens
196,B128,Cardamine concatenata
197,B128,Erythronium albidum
198,B128,Sanicula gregaria
199,B138,Allium vineale
200,B138,Clinopodium vulgare
