"","plot_names","Freq"
"1","U95",27
"2","JJ102",20
"3","GG94",19
"4","LL114",18
"5","W87",18
"6","AA95",16
"7","BB92",16
"8","GG92",16
"9","HH110",16
"10","HH130",16
"11","HH93",16
"12","I109",16
"13","V95",16
"14","BB141",15
"15","CC96",15
"16","G137",15
"17","HH90",15
"18","II122",15
"19","LL90",15
"20","A116",14
"21","AA117",14
"22","DD100",14
"23","HH103",14
"24","JJ115",14
"25","KK109",14
"26","OO101",14
"27","T89",14
"28","U110",14
"29","AY127",13
"30","D125",13
"31","DD90",13
"32","FF94",13
"33","HH85",13
"34","HH87",13
"35","V84",13
"36","X78",13
"37","Y112",13
"38","A133",12
"39","B109",12
"40","B127",12
"41","B128",12
"42","BB84",12
"43","CC110",12
"44","CC86",12
"45","D113",12
"46","FF117",12
"47","G109",12
"48","II142",12
"49","II90",12
"50","JJ93",12
"51","KK116",12
"52","LL141",12
"53","NN110",12
"54","Y94",12
"55","Y96",12
"56","A135",11
"57","AA118",11
"58","BB115",11
"59","C125",11
"60","CC138",11
"61","CC99",11
"62","EE128",11
"63","F112",11
"64","F113",11
"65","F122",11
"66","FF91",11
"67","G126",11
"68","HH96",11
"69","JJ111",11
"70","JJ87",11
"71","KK119",11
"72","LL103",11
"73","LL110",11
"74","QQ139",11
"75","S70",11
"76","TT140",11
"77","W137",11
"78","W72",11
"79","W95",11
"80","Y135",11
"81","Y147",11
"82","YY137",11
"83","Z143",11
"84","Z76",11
"85","A126",10
"86","AA125",10
"87","BB121",10
"88","C127",10
"89","CC109",10
"90","DD86",10
"91","EE126",10
"92","H115",10
"93","HA132",10
"94","HH112",10
"95","KK101",10
"96","LL104",10
"97","LL133",10
"98","N116",10
"99","NN118",10
"100","PP134",10
"101","QQ131",10
"102","QQ146",10
"103","R75",10
"104","R83",10
"105","R86",10
"106","SS136",10
"107","T87",10
"108","T88",10
"109","W128",10
"110","WW137",10
"111","Y115",10
"112","Z92",10
"113","AZ138",9
"114","BB107",9
"115","CC97",9
"116","DD145",9
"117","F114",9
"118","HH106",9
"119","I116",9
"120","II105",9
"121","J121",9
"122","K115",9
"123","KK121",9
"124","MM114",9
"125","NN114",9
"126","NN126",9
"127","S111",9
"128","T70",9
"129","T84",9
"130","W91",9
"131","X125",9
"132","Y141",9
"133","YY122",9
"134","ZZ132",9
"135","A121",8
"136","A124",8
"137","AX132",8
"138","C105",8
"139","C120",8
"140","C123",8
"141","D117",8
"142","D123",8
"143","DD83",8
"144","EE108",8
"145","F118",8
"146","GG140",8
"147","HH126",8
"148","I107",8
"149","I117",8
"150","JJ114",8
"151","JJ129",8
"152","K107",8
"153","OO110",8
"154","QQ140",8
