342,"""U95""","""Prunella vulgaris""","""Erythronium albidum""","""Actaea pachypoda""","""Viola sororia""","""Quercus ellipsoidalis""","""Circaea lutetiana""","""AGRALT""","""Helenium autumnale""","""Sanicula gregaria""","""Tragopogon species""","""Trillium recurvatum"""
341,"""Y112""","""Dicentra cucullaria""","""Cystopteris protrusa""","""Claytonia virginica""","""Enemion biternatum""","""Cardamine concatenata""","""Osmorhiza""","""Floerkea proserpinacoides""","""Trillium recurvatum""",,,
340,"""I109""","""Erythronium albidum""","""Symphyotrichum""","""Claytonia virginica""","""Allium tricoccum var. burdickii""","""Acer""","""Cardamine concatenata""","""Sanicula""","""Allium""",,,
339,"""HH130""","""Viburnum dentatum""","""Prunella vulgaris""","""Calluna vulgaris""","""Viburnum lentago""","""Phaca""","""Celastrus orbiculatus""","""Malus sieboldii""",,,,
338,"""V95""","""Erythronium albidum""","""Helianthus species""","""Oxalis""","""Juglans nigra""","""Trillium recurvatum""","""Elymus elymoides""","""Camassia scilloides""",,,,
337,"""LL90""","""Erythronium albidum""","""Juglans nigra""","""Claytonia virginica""","""Cardamine concatenata""","""Sanicula""","""Osa""","""Trillium recurvatum""",,,,
336,"""JJ87""","""Erythronium albidum""","""Sanicula""","""Circaea lutetiana""","""Claytonia virginica""","""Osmorhiza""","""Trillium recurvatum""",,,,,
335,"""HH90""","""Erythronium albidum""","""Sanicula""","""Claytonia virginica""","""Cryptotaenia canadensis""","""Anemone quinquefolia""","""Osmorhiza""",,,,,
334,"""W87""","""Elymus""","""Eupatorium purpureum""","""Erythronium albidum""","""Circaea lutetiana""","""Aesculus""","""Trillium recurvatum""",,,,,
333,"""U110""","""Acer saccharum""","""Erythronium albidum""","""Cardamine douglassii""","""Claytonia virginica""","""Cardamine concatenata""","""Floerkea proserpinacoides""",,,,,
332,"""N116""","""Acer saccharum""","""Erythronium albidum""","""Claytonia virginica""","""Sanicula gregaria""","""Cardamine concatenata""","""Floerkea proserpinacoides""",,,,,
331,"""JJ93""","""Acer saccharum""","""Erythronium albidum""","""Circaea lutetiana""","""Claytonia virginica""","""Sanicula""","""Trillium recurvatum""",,,,,
330,"""AA118""","""Acer saccharum""","""Erythronium albidum""","""Claytonia virginica""","""Anemone quinquefolia""","""Cardamine concatenata""","""Floerkea proserpinacoides""",,,,,
329,"""Y115""","""Erythronium albidum""","""Cardamine concatenata""","""Allium""","""Mertensia virginica""","""Floerkea proserpinacoides""",,,,,,
328,"""WW140""","""Berberis thunbergii""","""Erythronium albidum""","""Smilax illinoensis""","""Circaea lutetiana""","""Cardamine concatenata""",,,,,,
327,"""W72""","""Erythronium albidum""","""Allium tricoccum var. burdickii""","""Celastrus orbiculatus""","""Camassia scilloides""","""Trillium recurvatum""",,,,,,
326,"""V111""","""Dicentra cucullaria""","""Erythronium albidum""","""Claytonia virginica""","""Anemone quinquefolia""","""Cardamine concatenata""",,,,,,
325,"""R116""","""Erythronium albidum""","""Claytonia virginica""","""Anemone quinquefolia""","""Cardamine concatenata""","""Uvularia grandiflora""",,,,,,
324,"""K105""","""Erythronium albidum""","""Claytonia virginica""","""Anemone quinquefolia""","""Cardamine concatenata""","""Allium""",,,,,,
323,"""G126""","""Erythronium albidum""","""Viola sororia""","""Claytonia virginica""","""Cardamine concatenata""","""Agrimonia pubescens""",,,,,,
322,"""F118""","""Erythronium albidum""","""Claytonia virginica""","""Agrimonia pubescens""","""Sanicula gregaria""","""Floerkea proserpinacoides""",,,,,,
321,"""CC96""","""Erythronium albidum""","""Claytonia virginica""","""Osmorhiza""","""Phlox divaricata""","""Trillium recurvatum""",,,,,,
320,"""AA95""","""Erythronium albidum""","""Circaea lutetiana""","""Claytonia virginica""","""Osmorhiza""","""Trillium recurvatum""",,,,,,
319,"""A126""","""Erythronium albidum""","""Sanicula gregaria""","""Cardamine concatenata""","""Agrimonia pubescens""","""Trillium recurvatum""",,,,,,
318,"""G109""","""Erythronium albidum""","""Quercus ellipsoidalis""","""Claytonia virginica""","""Anemone quinquefolia""","""Osmorhiza""",,,,,,
317,"""A135""","""Viola sororia""","""Morus alba""","""Sonchus arvensis""","""Agrimonia pubescens""","""Phellodendron amurense""",,,,,,
316,"""Y135""","""Acer saccharum""","""Laportea canadensis""","""Carex jamesii""","""Fallopia scandens""","""Floerkea proserpinacoides""",,,,,,
315,"""W128""","""Acer saccharum""","""Erythronium albidum""","""Claytonia virginica""","""Pruser serotina""","""Mertensia virginica""",,,,,,
314,"""W112""","""Acer saccharum""","""Erythronium albidum""","""Claytonia virginica""","""Anemone quinquefolia""","""Cardamine concatenata""",,,,,,
313,"""U107""","""Acer saccharum""","""Erythronium albidum""","""Claytonia virginica""","""Allium""","""Floerkea proserpinacoides""",,,,,,
312,"""S111""","""Acer saccharum""","""Erythronium albidum""","""Cardamine concatenata""","""Mertensia virginica""","""Floerkea proserpinacoides""",,,,,,
311,"""QQ131""","""Acer saccharum""","""Viola sororia""","""Claytonia virginica""","""Sanicula gregaria""","""Celtis occidentalis""",,,,,,
310,"""Q110""","""Acer saccharum""","""Claytonia virginica""","""Allium tricoccum var. burdickii""","""Carex albursina""","""Cardamine concatenata""",,,,,,
309,"""K107""","""Acer saccharum""","""Erythronium albidum""","""Claytonia virginica""","""Anemone quinquefolia""","""Cardamine concatenata""",,,,,,
308,"""II90""","""Acer saccharum""","""Erythronium albidum""","""Osmorhiza""","""Claytonia virginica""","""Sanicula""",,,,,,
307,"""II122""","""Acer saccharum""","""Circaea lutetiana""","""Claytonia virginica""","""Osmorhiza aristata var. aristata""","""Floerkea proserpinacoides""",,,,,,
306,"""GG121""","""Acer saccharum""","""Circaea lutetiana""","""Claytonia virginica""","""Cardamine concatenata""","""Floerkea proserpinacoides""",,,,,,
305,"""BB121""","""Dicentra cucullaria""","""Acer saccharum""","""Clematis virginiana""","""Cardamine concatenata""","""Floerkea proserpinacoides""",,,,,,
304,"""BB116""","""Dicentra cucullaria""","""Acer saccharum""","""Erythronium albidum""","""Claytonia virginica""","""Anemone quinquefolia""",,,,,,
303,"""AA114""","""Acer saccharum""","""Erythronium albidum""","""Composite species""","""Claytonia virginica""","""Cerastium""",,,,,,
302,"""Z132""","""Claytonia virginica""","""Erythronium albidum""","""Mertensia virginica""","""Floerkea proserpinacoides""",,,,,,,
301,"""YY140""","""Ranunculus septentrionalis""","""Erythronium albidum""","""Allium tricoccum var. burdickii""","""Trillium recurvatum""",,,,,,,
300,"""Y130""","""Floerkea proserpinacoides""","""Erythronium albidum""","""Cardamine concatenata""","""Mertensia virginica""",,,,,,,
299,"""Y128""","""Claytonia virginica""","""Mertensia virginica""","""Floerkea proserpinacoides""","""Erythronium albidum""",,,,,,,
298,"""XX134""","""Viola sororia var. missouriensis""","""Erythronium albidum""","""Cardamine concatenata""","""Carex jamesii""",,,,,,,
297,"""X143""","""Symphyotrichum lanceolatum""","""Bidens species""","""Geum""","""Juncus""",,,,,,,
296,"""V84""","""Quercus""","""Circaea lutetiana""","""Erythronium albidum""","""Oxalis""",,,,,,,
295,"""U111""","""Claytonia virginica""","""Cardamine concatenata""","""Floerkea proserpinacoides""","""Erythronium albidum""",,,,,,,
294,"""T89""","""Claytonia virginica""","""Elymus""","""Erythronium albidum""","""Symphyotrichum""",,,,,,,
293,"""KK121""","""Celtis occidentalis""","""Fallopia scandens""","""Solanum dulcamara""","""Floerkea proserpinacoides""",,,,,,,
292,"""K116""","""Elymus virginicus""","""Erythronium albidum""","""Cardamine concatenata""","""Elymus elymoides""",,,,,,,
291,"""K115""","""Claytonia virginica""","""Erythronium albidum""","""Cardamine concatenata""","""Anemone quinquefolia""",,,,,,,
290,"""JJ121""","""Osmorhiza aristata var. aristata""","""Claytonia virginica""","""Floerkea proserpinacoides""","""Trillium recurvatum""",,,,,,,
289,"""J110""","""Claytonia virginica""","""Erythronium albidum""","""Cardamine concatenata""","""Allium tricoccum var. burdickii""",,,,,,,
288,"""II142""","""Erythronium albidum""","""Camassia""","""Floerkea proserpinacoides""","""Camassia scilloides""",,,,,,,
287,"""I116""","""Claytonia virginica""","""Erythronium albidum""","""Cardamine concatenata""","""Anemone quinquefolia""",,,,,,,
286,"""HH93""","""Claytonia virginica""","""Erythronium albidum""","""Composite species""","""Sanicula""",,,,,,,
285,"""H115""","""Sanicula gregaria""","""Helianthus species""","""Allium tricoccum var. burdickii""","""Erythronium albidum""",,,,,,,
284,"""GG94""","""Cerastium""","""Osmorhiza""","""Anemone quinquefolia""","""Sanicula""",,,,,,,
283,"""DD145""","""Bidens species""","""Cirsium""","""Morus""","""Trillium recurvatum""",,,,,,,
282,"""CC110""","""Galium circaezans""","""Claytonia virginica""","""Elymus elymoides""","""Lactuca species""",,,,,,,
281,"""C127""","""Erythronium albidum""","""Cardamine concatenata""","""Sanicula gregaria""","""Trillium recurvatum""",,,,,,,
280,"""B109""","""Arnoglossum atriplicifolium""","""Symphyotrichum""","""Symphyotrichum novae-angliae""","""Schizachyrium scoparium""",,,,,,,
