"","Original_name","Accepted_name"
"1","0",""
"2","Acalypha rhomboidea","Acalypha virginica var. rhomboidea"
"3","Acer negundo","Acer negundo"
"4","Acer nigrum","Acer saccharum subsp. nigrum"
"5","Acer platanoides","Acer platanoides"
"6","Acer saccharum","Acer saccharum"
"7","Acer sp.","Acer"
"8","Acers saccharum","Acer saccharum"
"9","Achillea millefolium","Achillea millefolium"
"10","Actaea pachypoda","Actaea pachypoda"
"11","Actinomeris alternifolia","Verbesina alternifolia"
"12","Aesculus sp.","Aesculus"
"13","Ageratina altissima","Ageratina altissima"
"14","AGRALT",""
"15","Agrimonia gryposepala","Agrimonia gryposepala"
"16","Agrimonia pubescens","Agrimonia pubescens"
"17","Agrimonia sp.","Agrimonia"
"18","Agrimonia Sp.","Agrimonia"
"19","Agrononia sp.","Agrimonia"
"20","Alisma subcordatum","Alisma subcordatum"
"21","ALLBUR","Allium"
"22","Alliaria petiolata","Alliaria petiolata"
"23","Allium burdickii","Allium tricoccum var. burdickii"
"24","Allium canadense","Allium canadense"
"25","Allium cernuum","Allium cernuum"
"26","Allium sp.","Allium"
"27","Allium tricoccum","Allium tricoccum"
"28","Allium vineale","Allium vineale"
"29","Ambrosia artemisiifolia","Ambrosia artemisiifolia"
"30","Ambrosia artemisiifolia elatior","Ambrosia artemisiifolia"
"31","Ambrosia trifida","Ambrosia trifida"
"32","AMOSPA","Amorpha"
"33","Amphicarpaea bracteata",""
"34","Anemone canadensis","Anemone canadensis"
"35","Anemone quinquefolia","Anemone quinquefolia"
"36","Anemone virginiana","Anemone virginiana"
"37","Anemonella thalictroides","Anemonella thalictroides"
"38","Apocynum cannabinum","Apocynum cannabinum"
"39","Apocynum sibiricum","Apocynum cannabinum"
"40","Arctium minus","Arctium minus"
"41","Arisaema dracontium","Arisaema dracontium"
"42","Arisaema triphyllum","Arisaema triphyllum"
"43","Asarum canadense","Asarum canadense"
"44","ASCGLA",""
"45","Asimina triloba","Asimina triloba"
"46","Aster ericoides","Symphyotrichum ericoides"
"47","Aster lateriflorus","Symphyotrichum lateriflorum"
"48","Aster pilosus","Symphyotrichum pilosum"
"49","Aster sp.?","Aster"
"50","B??",""
"51","Barbarea vulgaris","Barbarea vulgaris"
"52","Berberis thunbergii","Berberis thunbergii"
"53","Bidens frondosa","Bidens frondosa"
"54","Bidens sp.",""
"55","Brassica sp.","Brassica"
"56","Bromus inermis","Bromus inermis"
"57","Bromus sp.","Bromus"
"58","Cacalia atriplicifolia","Arnoglossum atriplicifolium"
"59","Calaminta vulgaris","Clinopodium vulgare"
"60","Calluna vulgaris","Calluna vulgaris"
"61","Camassia scilloides","Camassia scilloides"
"62","Cammassia?","Camassia"
"63","Campanula americana","Campanula americana"
"64","Cardamine canadensis","Cardamine"
"65","Cardamine concatenata","Cardamine concatenata"
"66","Cardamine douglassii","Cardamine douglassii"
"67","Carex albursina","Carex albursina"
"68","Carex blanda","Carex blanda"
"69","Carex hirtifolia","Carex hirtifolia"
"70","Carex jamesii","Carex jamesii"
"71","Carex pensylvanica","Carex pensylvanica"
"72","Carex sp.","Carex"
"73","Carex sp. #1","Carex"
"74","Carex sp. #2","Carex"
"75","Carex sp. #3","Carex"
"76","Carex trichocarpa","Carex trichocarpa"
"77","Carya cordiformis","Carya cordiformis"
"78","Carya ovata","Carya ovata"
"79","Carya sp.","Carya"
"80","Caulophyllum thalictroides","Caulophyllum thalictroides"
"81","Celastrus orbiculatus","Celastrus orbiculatus"
"82","Celtis occidentalis","Celtis occidentalis"
"83","Cerastium sp.","Cerastium"
"84","Cerastrium sp.","Cerastium"
"85","Cercis canadensis","Cercis canadensis"
"86","Chenopodium album","Chenopodium album"
"87","Chenopodium sp.","Chenopodium"
"88","Chrysanthemum leucanthemum","Leucanthemum vulgare"
"89","Circaea lutetiana","Circaea lutetiana"
"90","Circaea lutetiana canadensis","Circaea lutetiana subsp. canadensis"
"91","Cirsium arvense","Cirsium arvense"
"92","Cirsium sp.","Cirsium"
"93","Cirsium vulgare","Cirsium vulgare"
"94","Cladastris kentukea","Cladrastis kentukea"
"95","Claytonia virginica","Claytonia virginica"
"96","Clematis virginiana","Clematis virginiana"
"97","Composite",""
"98","Composite sp.",""
"99","Convolvulus sepium","Calystegia sepium"
"100","Convolvulus sp.","Convolvulus"
"101","Convovulus sp.","Convolvulus"
"102","Coreopsis tripteris","Coreopsis tripteris"
"103","Cornus racemosa","Cornus racemosa"
"104","Cornus sp.","Cornus"
"105","Coronilla varia","Securigera varia"
"106","Crataegus sp.","Crataegus"
"107","Cryptotaenia canadensis","Cryptotaenia canadensis"
"108","Cystopteris protrusa","Cystopteris protrusa"
"109","Dactylis glomerata","Dactylis glomerata"
"110","Daucus carota","Daucus carota"
"111","Dicentra cucullaria","Dicentra cucullaria"
"112","Dipsacus fullonum","Dipsacus fullonum"
"113","Dipsacus laciniatus","Dipsacus laciniatus"
"114","Dipsacus sylvestris","Dipsacus fullonum"
"115","Dodecatheon meadia","Dodecatheon meadia"
"116","Ellisia nyctelea","Ellisia nyctelea"
"117","Elmus hystrix","Elymus elymoides"
"118","Elymus hystrix","Elymus elymoides"
"119","Elymus sp.","Elymus"
"120","Elymus villosus","Elymus villosus"
"121","Elymus virginicus","Elymus virginicus"
"122","Enemion biternatum","Enemion biternatum"
"123","Epilobium coloratum","Epilobium coloratum"
"124","Equisetum arvense","Equisetum arvense"
"125","Erigeron annuus","Erigeron annuus"
"126","Erigeron philadelphicus","Erigeron philadelphicus"
"127","Erigeron sp.","Erigeron"
"128","Erythronium albidum","Erythronium albidum"
"129","Euonymus alatus","Euonymus alatus"
"130","Euonymus europaeus","Euonymus europaeus"
"131","Euonymus sp.","Euonymus"
"132","Eupatorium purpureum","Eupatorium purpureum"
"133","Eupatorium rugosum","Ageratina altissima"
"134","Eupatorium sp.","Eupatorium"
"135","Festuca elatior","Festuca arundinacea"
"136","Floerkea proserpinacoides","Floerkea proserpinacoides"
"137","Fragaria virginiana","Fragaria virginiana"
"138","Fraxinus","Fraxinus"
"139","Fraxinus americana","Fraxinus americana"
"140","Fraxinus pennsylvanica","Fraxinus pennsylvanica"
"141","Fraxinus quadrangulata","Fraxinus quadrangulata"
"142","Fraxinus sp.","Fraxinus"
"143","Galium aparine","Galium aparine"
"144","Galium circaezans","Galium circaezans"
"145","Galium sp.","Galium"
"146","Galium triflorum","Galium triflorum"
"147","Geranium maculatum","Geranium maculatum"
"148","Germaniun maculatum","Geranium maculatum"
"149","Geum canadense","Geum canadense"
"150","Geum sp.","Geum"
"151","Glechoma hederacea","Glechoma hederacea"
"152","Gleditsia triacanthos",""
"153","Glyceria striata","Glyceria striata"
"154","Gymnocladus dioica","Gymnocladus dioica"
"155","Gymnocladus dioicus","Gymnocladus dioica"
"156","Hackelia virginiana","Hackelia virginiana"
"157","Hairy weed",""
"158","Helenium autumnale","Helenium autumnale"
"159","Helianthus grosseserratus","Helianthus grosseserratus"
"160","Helianthus sp.",""
"161","Hepatica acutiloba","Anemone hepatica var. acuta"
"162","Hesperis matronalis","Hesperis matronalis"
