,Original_name,Accepted_name,
1,??,,
2,0,,
3,Acalypha rhomboidea,Acalypha virginica var. rhomboidea,
4,Acer negundo,Acer negundo,
5,Acer nigrum,Acer saccharum subsp. nigrum,
6,Acer platanoides,Acer platanoides,
7,Acer rubrum,Acer rubrum,
8,Acer saccharinum,Acer saccharinum,
9,Acer saccharum,Acer saccharum,
10,Acer sp.,Acer,
11,Acer species,Acer,
12,Acers saccharum,Acer saccharum,
13,Achillea millefolium,Achillea millefolium,
14,Actaea pachypoda,Actaea pachypoda,
15,Actinomeris alternifolia,Verbesina alternifolia,
16,Aesculus glabra,Aesculus glabra,
17,Aesculus sp.,Aesculus,
18,Aesculus species,Aesculus,
19,Ageratina altissima,Ageratina altissima,
20,Agostis alba,Poa nemoralis,
21,AGRALT,,Agrostis altissima
22,Agrimonia gryposepala,Agrimonia gryposepala,
23,Agrimonia pubescens,Agrimonia pubescens,
24,Agrimonia sp.,Agrimonia,
25,Agrimonia Sp.,Agrimonia,
26,Agrimonia species,Agrimonia,
27,Agrononia sp.,Agrimonia,
28,Agropyron repens,Elymus repens,
29,Agrostis alba,Poa nemoralis,
30,Agrostis species,Agrostis,
31,Alisma subcordatum,Alisma subcordatum,
32,ALLBUR,Allium,
33,Alliaria petiolata,Alliaria petiolata,
34,Allium burdickii,Allium tricoccum var. burdickii,
35,Allium canadense,Allium canadense,
36,Allium cernuum,Allium cernuum,
37,Allium sp.,Allium,
38,Allium stellatum,Allium stellatum,
39,Allium tricoccum,Allium tricoccum,
40,Allium vineale,Allium vineale,
41,Alnus species,Alnus,
42,Ambrosia artemisiifolia,Ambrosia artemisiifolia,
43,Ambrosia artemisiifolia elatior,Ambrosia artemisiifolia,
44,Ambrosia trifida,Ambrosia trifida,
45,AMOSPA,Amorpha,
46,Amphicarpaea bracteata,,Amphicarpaea bracteata
47,Andropogon gerardii,Andropogon gerardii,
48,Anemone canadensis,Anemone canadensis,
49,Anemone caroliniana,Anemone caroliniana,
