"","Original_name"
"1","??"
"2","Acalypha rhomboidea"
"3","Acer negundo"
"4","Acer nigrum"
"5","Acer platanoides"
"6","Acer rubrum"
"7","Acer saccharinum"
"8","Acer saccharum"
"9","Acer species"
"10","Achillea millefolium"
"11","Actinomeris alternifolia"
"12","Aesculus glabra"
"13","Aesculus species"
"14","Agostis alba"
"15","Agrimonia gryposepala"
"16","Agrimonia species"
"17","Agropyron repens"
"18","Agrostis alba"
"19","Agrostis species"
"20","Alliaria petiolata"
"21","Allium canadense"
"22","Allium cernuum"
"23","Allium stellatum"
"24","Allium tricoccum"
"25","Alnus species"
"26","Ambrosia artemisiifolia elatior"
"27","Ambrosia trifida"
"28","Andropogon gerardii"
"29","Anemone caroliniana"
"30","Anemone quinquefolia"
"31","Anemone species"
"32","Anemone virginiana"
"33","Anemonella thalictroides"
"34","Aquilegia canadensis"
"35","Arctium minus"
"36","Arenaria lateriflora"
"37","Arisaema dracontium"
"38","Arisaema triphyllum"
"39","Aruncus dioicus pubescens"
"40","Asarum canadense"
"41","Asclepias meadii"
"42","Asclepias syriaca"
"43","Asclepias verticillata"
"44","Asimina species"
"45","Asplenium species"
"46","Aster lateriflorus"
"47","Aster pilosus"
"48","Aster sagittifolius"
"49","Aster sagittifolius drummondii"
"50","Aster shortii"
"51","Aster species"
"52","Barbarea vulgaris"
"53","Berberis thunbergii"
"54","Bidens cernua"
"55","Bidens frondosa"
"56","Bidens species"
"57","Boehmeria cylindrica"
"58","Brassicaceae family"
"59","Bromis inermis"
"60","Bromus inermis"
"61","Campanula americana"
"62","Carex blanda"
"63","Carex gravida"
"64","Carex hirtifolia"
"65","Carex pensylvanica"
"66","Carex rosea"
"67","Carex sparganioides"
"68","Carex species"
"69","Carex tribuloides"
"70","Carex vulpinoidea"
"71","Carya cordiformis"
"72","Carya ovata"
"73","Carya species"
"74","Caulophyllum thalictroides"
"75","Celastrus scandens"
"76","Celtis occidentalis"
"77","Cercis canadensis"
"78","Chenopodium album"
"79","Chrysanthemum leucanthemum pinnatifidum"
"80","Circaea lutetiana canadensis"
"81","Cirsium arvense"
"82","Cirsium vulgare"
"83","Cladrastis lutea"
"84","Convolvulus arvensis"
"85","Convolvulus sepium"
"86","Convolvulus species"
"87","Cornus racemosa"
"88","Coronilla varia"
"89","Crataegus species"
"90","Dactylis glomerata"
"91","Danthonia spicata"
"92","Daucus carota"
"93","Desmodium species"
"94","Dioscorea villosa"
"95","Dipsacus sylvestris"
"96","Dodecatheon meadia"
"97","Duchesnea indica"
"98","Elymus villosus"
"99","Epilobium coloratum"
"100","Erechtites hieracifolia"
"101","Erigeron annuus"
"102","Erigeron canadensis"
"103","Erigeron strigosus"
"104","Euonymus alatus"
"105","Euonymus atropurpureus"
"106","Euonymus species"
"107","Eupatorium rugosum"
"108","Festuca elatior"
"109","Festuca species"
"110","Forb species"
"111","Fragaria vesca americana"
"112","Fragaria virginiana"
"113","Fraxinus - Collections"
"114","Fraxinus americana"
"115","Fraxinus pennsylvanica subintegerrima"
"116","Fraxinus quadrangulata"
"117","Fraxinus seedling"
"118","Fraxinus species"
"119","Galium aparine"
"120","Galium asprellum"
"121","Galium obtusum"
"122","Galium species"
"123","Galium triflorum"
"124","Geranium maculatum"
"125","Geum canadense"
"126","Glechoma hederacea"
"127","Gleditsia triacanthos"
"128","Glyceria striata"
"129","Grass species"
"130","Gymnocladus dioica"
"131","Hackelia virginiana"
"132","Helianthus divaricatus"
"133","Helianthus species"
"134","Helianthus strumosus"
"135","Hepatica acutiloba"
"136","Hickory species"
"137","Hydrastis canadensis"
"138","Hydrophyllum virginianum"
"139","Hystrix patula"
"140","Impatiens capensis"
"141","Impatiens pallida"
"142","Impatiens species"
"143","Isopyrum biternatum"
"144","Juglans cinerea"
"145","Juglans nigra"
"146","Juncus dudleyi"
"147","Juniperus virginiana"
"148","Lactuca canadensis"
"149","Lactuca floridana"
"150","Lactuca serriola"
"151","Lactuca species"
"152","Leersia oryzoides"
"153","Leersia virginica"
"154","Ligustrum species"
"155","Liriodendron tulipifera"
"156","Lonicera maackii"
"157","Lonicera prolifera"
"158","Lonicera species"
"159","Lonicera tatarica"
"160","Lycopus americanus"
"161","Maclura pomifera"
"162","Malus species"
"163","Melilotus alba"
"164","Melilotus officinalis"
"165","Menispermum canadense"
"166","Mint species"
"167","Monarda fistulosa"
"168","Morus alba"
"169","Morus rubra"
"170","NONE"
"171","Onoclea sensibilis"
"172","Osmorhiza longistylis"
"173","Osmunda claytoniana"
"174","Ostrya virginiana"
"175","Oxalis europaea"
"176","Oxalis stricta"
"177","Panicum implicatum"
"178","Panicum species"
"179","Panicum spretum"
"180","Parthenocissus quinquefolia"
"181","Pastinaca sativa"
"182","Phalaris arundinacea"
"183","Phleum pratense"
"184","Phryma leptostachya"
