"","plot","code","species"
"751","EE-128","PINBAN","Pinus banksiana"
"752","EE-128","PINBAN","Pinus banksiana"
"1173","H-115","ALNUS SP","Alnus species"
"1174","H-115","ALNUS SP","Alnus species"
"1651","HH-87","CLALUT","Cladrastis lutea"
"1652","HH-87","CLALUT","Cladrastis lutea"
"2355","LL-110","CLALUT","Cladrastis lutea"
"2966","QQ-111","CLALUT","Cladrastis lutea"
"3555","TT-129","MORRUB","Morus rubra"
"3556","TT-129","MORRUB","Morus rubra"
"3557","TT-129","MORRUB","Morus rubra"
"3558","TT-129","MORRUB","Morus rubra"
"3559","TT-129","MORRUB","Morus rubra"
"3560","TT-129","MORRUB","Morus rubra"
"4979","B-138","ALLSTE","Allium stellatum"
"5211","DD-100","RUBIDS","Rubus idaeus strigosus"
"5272","DD-90","RUBIDS","Rubus idaeus strigosus"
"5435","FF-132","ASCMEA","Asclepias meadii"
"5466","FF-94","FESELA","Festuca elatior"
"5480","G-109","HELDIV","Helianthus divaricatus"
"5595","HB-125","VIBREC","Viburnum recognitum"
"5736","HH-79","VIBREC","Viburnum recognitum"
"5806","II-105","GALASP","Galium asprellum"
"5964","K-115","VIBREC","Viburnum recognitum"
"6150","LL-90","VIBREC","Viburnum recognitum"
"6188","MM-108","FESELA","Festuca elatior"
"6267","NN-105","FESELA","Festuca elatior"
"6342","O-121","UVUSES","Uvularia sessilifolia"
"6450","P-95","VIBREC","Viburnum recognitum"
"6737","U-70","VIBRAF","Viburnum rafinesquianum"
"6869","T-77","VIBRAF","Viburnum rafinesquianum"
"6894","S-92","VIBREC","Viburnum recognitum"
"6919","TT-119","ANECAR","Anemone caroliniana"
"7112","V-136","VIBREC","Viburnum recognitum"
"7114","V-73","FESELA","Festuca elatior"
"7146","V-89","VIBREC","Viburnum recognitum"
"7157","WW-106","FESELA","Festuca elatior"
"7229","W-87","SMITAH","Smilax tamnoides hispida"
"7236","W-95","ARUDIP","Aruncus dioicus pubescens"
"7254","W-95","VIBREC","Viburnum recognitum"
"7430","Y-90","VIBREC","Viburnum recognitum"
"7467","YY-122","FRAVEA","Fragaria vesca americana"
"7494","YY-146","RUMORB","Rumex orbiculatus"
"7596","AA-79","POPALB","Populus alba"
"7692","DD-130","VIBREC","Viburnum recognitum"
"7761","FF-123","VIBREC","Viburnum recognitum"
"7800","GG-135","VIBREC","Viburnum recognitum"
"7895","HH-79","VIBREC","Viburnum recognitum"
"7921","II-131","VIBREC","Viburnum recognitum"
"7924","II-142","VIBREC","Viburnum recognitum"
"8228","S-92","VIBREC","Viburnum recognitum"
"8297","V-136","VIBREC","Viburnum recognitum"
"8332","W-91","VIBREC","Viburnum recognitum"
"8382","Y-90","VIBREC","Viburnum recognitum"
"8418","ZZ-132","VIBREC","Viburnum recognitum"
