Name_submitted,Name_matched,Author_matched,Overall_score,Taxonomic_status,Accepted_name,Accepted_author,Accepted_family,Source,Warnings,Accepted_name_lsid
??,No suitable matches found.,,0,,,,,, ,
Acalypha rhomboidea,Acalypha rhomboidea,,1,Synonym,Acalypha virginica var. rhomboidea,(Raf.) Cooperr.,Euphorbiaceae,tpl, ,
Acer negundo,Acer negundo,,1,Accepted,Acer negundo,L.,Sapindaceae,tpl;usda;tropicos, ,
Acer nigrum,Acer nigrum,,1,Synonym,Acer saccharum subsp. nigrum,(F.Michx.) Desmarais,Sapindaceae,tpl, ,
Acer platanoides,Acer platanoides,,1,Accepted,Acer platanoides,L.,Sapindaceae,tpl;usda;tropicos, ,
Acer rubrum,Acer rubrum,,1,Accepted,Acer rubrum,L.,Sapindaceae,tpl;usda;tropicos, ,
Acer saccharinum,Acer saccharinum,,1,Accepted,Acer saccharinum,L.,Sapindaceae,tpl;usda;tropicos, ,
Acer saccharum,Acer saccharum,,1,Accepted,Acer saccharum,Marshall,Sapindaceae,tpl;usda;tropicos, ,
Acer species,Acer,,0.9,Accepted,Acer,,Sapindaceae,tpl, ,
Achillea millefolium,Achillea millefolium,,1,Accepted,Achillea millefolium,,Asteraceae,tpl, ,
Actinomeris alternifolia,Actinomeris alternifolia,,1,Synonym,Verbesina alternifolia,(L.) Britton ex Kearney,Asteraceae,gcc, ,urn:lsid:compositae.org:names:DA9F7876-616E-41B8-9E50-B2ACDC944AFE
Aesculus glabra,Aesculus glabra,,1,Accepted,Aesculus glabra,Willd.,Sapindaceae,tpl;usda;tropicos, ,
Aesculus species,Aesculus,,0.9,Accepted,Aesculus,,Sapindaceae,tpl;usda, ,
Agostis alba,Agrostis alba,,0.98,Synonym,Poa nemoralis,L.,Poaceae,tpl;tropicos, ,
Agrimonia gryposepala,Agrimonia gryposepala,,1,Accepted,Agrimonia gryposepala,Wallr.,Rosaceae,tpl;usda;tropicos, ,
Agrimonia species,Agrimonia,,0.9,Accepted,Agrimonia,,Rosaceae,tpl;usda, ,
Agropyron repens,Agropyron repens,,1,Synonym,Elymus repens,(L.) Gould,Poaceae,tpl, ,
Agrostis alba,Agrostis alba,,1,Synonym,Poa nemoralis,L.,Poaceae,tpl;tropicos, ,
Agrostis species,Agrostis,,0.9,Accepted,Agrostis,,Poaceae,tpl;usda, ,
Alliaria petiolata,Alliaria petiolata,,1,Accepted,Alliaria petiolata,(M.Bieb.) Cavara & Grande,Brassicaceae,tpl, ,
Allium canadense,Allium canadense,,1,Accepted,Allium canadense,L.,Amaryllidaceae,tpl;usda;tropicos, ,
Allium cernuum,Allium cernuum,,1,Accepted,Allium cernuum,Roth,Amaryllidaceae,tpl;usda;tropicos, ,
Allium stellatum,Allium stellatum,,1,Accepted,Allium stellatum,Nutt. ex Ker Gawl.,Amaryllidaceae,tpl;tropicos, ,
Allium tricoccum,Allium tricoccum,,1,Accepted,Allium tricoccum,Aiton,Amaryllidaceae,tpl;usda;tropicos, ,
Alnus species,Alnus,,0.9,Accepted,Alnus,,Betulaceae,tpl, ,
Ambrosia artemisiifolia elatior,Ambrosia artemisiifolia var. elatior,,0.96,Synonym,Ambrosia artemisiifolia,L.,Asteraceae,gcc;tropicos, ,urn:lsid:compositae.org:names:5717C1D3-5B5F-4298-95E3-25D4AFE147CE
Ambrosia trifida,Ambrosia trifida,,1,Accepted,Ambrosia trifida,L.,Asteraceae,gcc;usda;tropicos, ,urn:lsid:compositae.org:names:A2275973-D61B-486C-9905-0E305DA158A6
Andropogon gerardii,Andropogon gerardii,,1,Accepted,Andropogon gerardii,Vitman,Poaceae,tpl;usda, ,
Anemone caroliniana,Anemone caroliniana,,1,Accepted,Anemone caroliniana,Walter,Ranunculaceae,tpl;usda;tropicos, ,
Anemone quinquefolia,Anemone quinquefolia,,1,Accepted,Anemone quinquefolia,L.,Ranunculaceae,tpl;usda;tropicos, ,
Anemone species,Anemone,,0.9,Accepted,Anemone,,Ranunculaceae,tpl, ,
Anemone virginiana,Anemone virginiana,,1,Accepted,Anemone virginiana,L.,Ranunculaceae,tpl;usda;tropicos, ,
Anemonella thalictroides,Anemonella thalictroides,,1,Accepted,Anemonella thalictroides,(L.) Spach,Ranunculaceae,tpl, ,
Aquilegia canadensis,Aquilegia canadensis,,1,Accepted,Aquilegia canadensis,L.,Ranunculaceae,tpl;usda;tropicos, ,
Arctium minus,Arctium minus,,1,Accepted,Arctium minus,,Asteraceae,tpl, ,
Arenaria lateriflora,Arenaria lateriflora,,1,Synonym,Moehringia lateriflora,(L.) Fenzl,Caryophyllaceae,tpl;usda;tropicos, ,
