"","plot","sp","cover","accepted_name"
"1","A107","Silphiumlaciniatum",7,"Silphium laciniatum"
"2","A107","Solidagoaltissima",60,"Solidago canadensis"
"3","A107","Monardafistulosa",5,"Monarda fistulosa"
"4","A107","Coronillavaria",1,"Securigera varia"
"5","A107","Coreopsistripteris",3,"Coreopsis tripteris"
"6","A107","Unidentifiedgrass",1,""
"7","A107","Potentillarecta",1,"Potentilla recta"
"8","A107","Cirsiumarvense",1,"Cirsium arvense"
"9","A107","Silphiumintegrifolium",2,"Silphium integrifolium"
"10","A107","Daucuscarota",1,"Daucus carota"
"11","A116","Alliumsp.",1,"Allium"
"12","A116","Galiumaparine",1,"Galium aparine"
"13","A116","Parthenocissusquinquefolia",1,"Parthenocissus quinquefolia"
"14","A116","Symphyotrichumsp.",6,"Symphyotrichum"
"15","A116","Fragariavirginiana",1,"Fragaria virginiana"
"16","A116","Loniceratatarica",2,"Lonicera tatarica"
"17","A116","Polygonumvirginianum",1,"Polygonum virginianum"
"18","A116","Ligusticumsp.",2,"Ligusticum"
"19","A116","Toxicondendronradicans",1,"Toxicodendron radicans"
"20","A116","Alliariapetiolata",1,"Alliaria petiolata"
"21","A116","Circaealutetiana",2,"Circaea lutetiana"
"22","A116","Rubusoccidentalis",1,"Rubus occidentalis"
"23","A116","Symphyotrichumsp.",1,"Symphyotrichum"
"24","A116","Solidagoaltissima",1,"Solidago canadensis"
"25","A121","Celastrusorbiculatus",10,"Celastrus orbiculatus"
"26","A121","Solidagoulmifolia",10,"Solidago ulmifolia"
"27","A121","Alliumcanadense",4,"Allium canadense"
"28","A121","Carexsp.",2,"Carex"
"29","A121","Polygonatumbiflorum",2,"Polygonatum biflorum"
"30","A121","Alliumcernuum",2,"Allium cernuum"
"31","A121","Galiumtriflorum",3,"Galium triflorum"
"32","A121","Symphyotrichumlateriflorum",2,"Symphyotrichum lateriflorum"
"33","A121","Solidagoaltissima",2,"Solidago canadensis"
"34","A124","Carexpensylvanica",5,"Carex pensylvanica"
"35","A124","Alliariapetiolata",2,"Alliaria petiolata"
"36","A124","Erythroniumalbidum",6,"Erythronium albidum"
"37","A124","Saniculagregaria",2,"Sanicula odorata"
"38","A124","Prenanthesalba",2,"Prenanthes alba"
"39","A124","Campanulaamericana",2,"Campanula americana"
"40","A124","Impatienssp.",2,"Impatiens"
"41","A124","Cardamineconcatenata",10,"Cardamine concatenata"
"42","A124","Geumcanadense",2,"Geum canadense"
"43","A126","Carexsp.",30,"Carex"
"44","A126","Trilliumrecurvatum",4,"Trillium recurvatum"
"45","A126","Cardamineconcatenata",15,"Cardamine concatenata"
"46","A126","Agrimoniapubescens",4,"Agrimonia pubescens"
"47","A126","Saniculagregaria",2,"Sanicula odorata"
