CC132,Alliaria petiolata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE127,Phryma leptostachya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD136,Ellisia nyctelea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I38,Phalaris arundinacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE106,Acer saccharum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O134,Acer saccharum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP107,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W142,Rhamnus cathartica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BB114,Tilia americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N105,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX131,Phalaris arundinacea,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF146,No data,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HC142,Lonicera maackii,Rhamnus cathartica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL123,Phalaris arundinacea,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I135,Lonicera maackii,Rubus allegheniensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B116,Quercus rubra,Quercus alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K131,Acer saccharum,Fraxinus americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q108,Acer saccharum,Quercus alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB138,Lonicera maackii,Rhamnus cathartica,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD146,Fraxinus pennsylvanica,Rhamnus cathartica,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HD147,Viburnum opulus,Rhamnus cathartica,Tilia americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M137,Acer saccharum,0,Tilia americana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A117,Acer saccharum,Ostrya virginiana,Rubus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B115,Quercus ellipsoidalis,Quercus macrocarpa,Rhamnus cathartica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U70,Carya cordiformis,Ulmus americana,Quercus alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V121,Quercus macrocarpa,Acer saccharum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
